FTU,FTUID,Vessel,VesselID,PathStep,PathVessel,PathVesselID
cortical collecting duct,UBERON:0004203,peritubular capillary,UBERON:0005272,1,stellate venule of kidney,FMA:321526
cortical collecting duct,UBERON:0004203,peritubular capillary,UBERON:0005272,2,interlobular renal vein,UBERON:0005168
cortical collecting duct,UBERON:0004203,peritubular capillary,UBERON:0005272,3,arcuate renal vein,UBERON:0004719
cortical collecting duct,UBERON:0004203,peritubular capillary,UBERON:0005272,4,interlobar renal vein,UBERON:0009887
cortical collecting duct,UBERON:0004203,peritubular capillary,UBERON:0005272,5,segmental renal vein,
cortical collecting duct,UBERON:0004203,peritubular capillary,UBERON:0005272,6,renal vein,UBERON:0001140
cortical collecting duct,UBERON:0004203,peritubular capillary,UBERON:0005272,7,inferior vena cava,UBERON:0001072
cortical collecting duct,UBERON:0004203,peritubular capillary,UBERON:0005272,8,right atrium,UBERON:0002078
crypt of Lieberkuhn,UBERON:0001983,branch of mucous plexus of colon,,-16,left ventricle,UBERON:0002084
crypt of Lieberkuhn,UBERON:0001983,branch of mucous plexus of colon,,-15,aorta,UBERON:0000947
crypt of Lieberkuhn,UBERON:0001983,branch of mucous plexus of colon,,-14,ascending aorta,UBERON:0001496
crypt of Lieberkuhn,UBERON:0001983,branch of mucous plexus of colon,,-13,aortic arch,UBERON:0001508
crypt of Lieberkuhn,UBERON:0001983,branch of mucous plexus of colon,,-12,descending aorta,UBERON:0001514
crypt of Lieberkuhn,UBERON:0001983,branch of mucous plexus of colon,,-11,descending thoracic aorta,UBERON:0002345
crypt of Lieberkuhn,UBERON:0001983,branch of mucous plexus of colon,,-10,abdominal aorta,UBERON:0001516
crypt of Lieberkuhn,UBERON:0001983,branch of mucous plexus of colon,,-9,inferior mesenteric artery,UBERON:0001183
crypt of Lieberkuhn,UBERON:0001983,branch of mucous plexus of colon,,-8,left colic artery,UBERON:8410022
crypt of Lieberkuhn,UBERON:0001983,branch of mucous plexus of colon,,-7,ascending branch of left colic artery,FMA:14828
crypt of Lieberkuhn,UBERON:0001983,branch of mucous plexus of colon,,-6,marginal artery of Drummond,FMA:14824
crypt of Lieberkuhn,UBERON:0001983,branch of mucous plexus of colon,,-5,vasa recta of colon,
crypt of Lieberkuhn,UBERON:0001983,branch of mucous plexus of colon,,-4,long branch of vasa recta of colon,
crypt of Lieberkuhn,UBERON:0001983,branch of mucous plexus of colon,,-3,submucosal artery of colon,
crypt of Lieberkuhn,UBERON:0001983,branch of mucous plexus of colon,,-2,submucosal arteriole of colon,
crypt of Lieberkuhn,UBERON:0001983,branch of mucous plexus of colon,,-1,mucosal arteriole of colon,
crypt of Lieberkuhn,UBERON:0001983,branch of mucous plexus of colon,,0,branch of mucous plexus of colon,
crypt of Lieberkuhn,UBERON:0001983,branch of mucous plexus of colon,,1,mucosal venule of colon,
crypt of Lieberkuhn,UBERON:0001983,branch of mucous plexus of colon,,2,submucosal venule of colon,
crypt of Lieberkuhn,UBERON:0001983,branch of mucous plexus of colon,,3,submucosal vein of colon,
crypt of Lieberkuhn,UBERON:0001983,branch of mucous plexus of colon,,4,vena recta of large intestine,
crypt of Lieberkuhn,UBERON:0001983,branch of mucous plexus of colon,,5,ileocolic vein,UBERON:0001219
crypt of Lieberkuhn,UBERON:0001983,branch of mucous plexus of colon,,6,superior mesenteric vein,UBERON:0001138
crypt of Lieberkuhn,UBERON:0001983,branch of mucous plexus of colon,,7,hepatic portal vein,UBERON:0001639
crypt of Lieberkuhn,UBERON:0001983,branch of mucous plexus of colon,,8,left hepatic portal vein,FMA:15415
crypt of Lieberkuhn,UBERON:0001983,branch of mucous plexus of colon,,9,left lateral hepatic portal vein,
crypt of Lieberkuhn,UBERON:0001983,branch of mucous plexus of colon,,10,lateral inferior segmental hepatic portal vein,FMA:15432
crypt of Lieberkuhn,UBERON:0001983,branch of mucous plexus of colon,,11,hepatic portal venule,
crypt of Lieberkuhn,UBERON:0001983,branch of mucous plexus of colon,,12,hepatic sinusoid,UBERON:0001281
crypt of Lieberkuhn,UBERON:0001983,branch of mucous plexus of colon,,13,central vein of liver,UBERON:0006841
crypt of Lieberkuhn,UBERON:0001983,branch of mucous plexus of colon,,14,segmental hepatic vein,
crypt of Lieberkuhn,UBERON:0001983,branch of mucous plexus of colon,,15,left hepatic vein,UBERON:0011955
crypt of Lieberkuhn,UBERON:0001983,branch of mucous plexus of colon,,16,inferior vena cava,UBERON:0001072
crypt of Lieberkuhn,UBERON:0001983,branch of mucous plexus of colon,,17,right atrium,UBERON:0002078
dermal papilla,UBERON:0000412,branch of subpapillary plexus,,-11,left ventricle,UBERON:0002084
dermal papilla,UBERON:0000412,branch of subpapillary plexus,,-10,aorta,UBERON:0000947
dermal papilla,UBERON:0000412,branch of subpapillary plexus,,-9,ascending aorta,UBERON:0001496
dermal papilla,UBERON:0000412,branch of subpapillary plexus,,-8,aortic arch,UBERON:0001508
dermal papilla,UBERON:0000412,branch of subpapillary plexus,,-7,subclavian artery,UBERON:0001533
dermal papilla,UBERON:0000412,branch of subpapillary plexus,,-6,axillary artery,UBERON:0001394
dermal papilla,UBERON:0000412,branch of subpapillary plexus,,-5,brachial artery,UBERON:0001398
dermal papilla,UBERON:0000412,branch of subpapillary plexus,,-4,ulnar artery,UBERON:0001406
dermal papilla,UBERON:0000412,branch of subpapillary plexus,,-3,cutaneous branch of ulnar artery,
dermal papilla,UBERON:0000412,branch of subpapillary plexus,,-2,cutaneous arteriole,
dermal papilla,UBERON:0000412,branch of subpapillary plexus,,-1,subpapillary plexus,FMA:280962
dermal papilla,UBERON:0000412,branch of subpapillary plexus,,0,branch of subpapillary plexus,
dermal papilla,UBERON:0000412,branch of subpapillary plexus,,1,cutaneous venule,
dermal papilla,UBERON:0000412,branch of subpapillary plexus,,2,cutaneous branch of ulnar vein,
dermal papilla,UBERON:0000412,branch of subpapillary plexus,,3,ulnar vein,FMA:22950
dermal papilla,UBERON:0000412,branch of subpapillary plexus,,4,brachial vein,UBERON:0001413
dermal papilla,UBERON:0000412,branch of subpapillary plexus,,5,axillary vein,UBERON:0000985
dermal papilla,UBERON:0000412,branch of subpapillary plexus,,6,subclavian vein,UBERON:0001587
dermal papilla,UBERON:0000412,branch of subpapillary plexus,,7,brachiocephalic vein,UBERON:0003711
dermal papilla,UBERON:0000412,branch of subpapillary plexus,,8,superior vena cava,UBERON:0001585
dermal papilla,UBERON:0000412,branch of subpapillary plexus,,9,right atrium,UBERON:0002078
descending limb of loop of Henle,UBERON:0001289,ascending vasa recta of kidney,UBERON:0009091,-17,left ventricle,UBERON:0002084
descending limb of loop of Henle,UBERON:0001289,ascending vasa recta of kidney,UBERON:0009091,-16,aorta,UBERON:0000947
descending limb of loop of Henle,UBERON:0001289,ascending vasa recta of kidney,UBERON:0009091,-15,ascending aorta,UBERON:0001496
descending limb of loop of Henle,UBERON:0001289,ascending vasa recta of kidney,UBERON:0009091,-14,aortic arch,UBERON:0001508
descending limb of loop of Henle,UBERON:0001289,ascending vasa recta of kidney,UBERON:0009091,-13,descending aorta,UBERON:0001514
descending limb of loop of Henle,UBERON:0001289,ascending vasa recta of kidney,UBERON:0009091,-12,descending thoracic aorta,UBERON:0002345
descending limb of loop of Henle,UBERON:0001289,ascending vasa recta of kidney,UBERON:0009091,-11,abdominal aorta,UBERON:0001516
descending limb of loop of Henle,UBERON:0001289,ascending vasa recta of kidney,UBERON:0009091,-10,renal artery,UBERON:0001184
descending limb of loop of Henle,UBERON:0001289,ascending vasa recta of kidney,UBERON:0009091,-9,segmental renal artery,FMA:70494
descending limb of loop of Henle,UBERON:0001289,ascending vasa recta of kidney,UBERON:0009091,-8,interlobar renal artery,UBERON:0009885
descending limb of loop of Henle,UBERON:0001289,ascending vasa recta of kidney,UBERON:0009091,-7,arcuate renal artery,UBERON:0001552
descending limb of loop of Henle,UBERON:0001289,ascending vasa recta of kidney,UBERON:0009091,-6,interlobular renal artery,UBERON:0004723
descending limb of loop of Henle,UBERON:0001289,ascending vasa recta of kidney,UBERON:0009091,-5,renal afferent arteriole,UBERON:0004639
descending limb of loop of Henle,UBERON:0001289,ascending vasa recta of kidney,UBERON:0009091,-4,glomerular capillary,UBERON:0004212
descending limb of loop of Henle,UBERON:0001289,ascending vasa recta of kidney,UBERON:0009091,-3,renal efferent arteriole,UBERON:0004640
descending limb of loop of Henle,UBERON:0001289,ascending vasa recta of kidney,UBERON:0009091,-2,descending vasa recta of kidney,UBERON:0009202
descending limb of loop of Henle,UBERON:0001289,ascending vasa recta of kidney,UBERON:0009091,-1,vasa recta of kidney,UBERON:0004726
descending limb of loop of Henle,UBERON:0001289,ascending vasa recta of kidney,UBERON:0009091,0,ascending vasa recta of kidney,UBERON:0009091
descending limb of loop of Henle,UBERON:0001289,ascending vasa recta of kidney,UBERON:0009091,1,straight venule of kidney,UBERON:0010181
descending limb of loop of Henle,UBERON:0001289,ascending vasa recta of kidney,UBERON:0009091,2,interlobular renal vein,UBERON:0005168
descending limb of loop of Henle,UBERON:0001289,ascending vasa recta of kidney,UBERON:0009091,3,arcuate renal vein,UBERON:0004719
descending limb of loop of Henle,UBERON:0001289,ascending vasa recta of kidney,UBERON:0009091,4,interlobar renal vein,UBERON:0009887
descending limb of loop of Henle,UBERON:0001289,ascending vasa recta of kidney,UBERON:0009091,5,segmental renal vein,
descending limb of loop of Henle,UBERON:0001289,ascending vasa recta of kidney,UBERON:0009091,6,renal vein,UBERON:0001140
descending limb of loop of Henle,UBERON:0001289,ascending vasa recta of kidney,UBERON:0009091,7,inferior vena cava,UBERON:0001072
descending limb of loop of Henle,UBERON:0001289,ascending vasa recta of kidney,UBERON:0009091,8,right atrium,UBERON:0002078
epidermal ridge of digit,UBERON:0013487,branch of subpapillary plexus,,-11,left ventricle,UBERON:0002084
epidermal ridge of digit,UBERON:0013487,branch of subpapillary plexus,,-10,aorta,UBERON:0000947
epidermal ridge of digit,UBERON:0013487,branch of subpapillary plexus,,-9,ascending aorta,UBERON:0001496
epidermal ridge of digit,UBERON:0013487,branch of subpapillary plexus,,-8,aortic arch,UBERON:0001508
epidermal ridge of digit,UBERON:0013487,branch of subpapillary plexus,,-7,subclavian artery,UBERON:0001533
epidermal ridge of digit,UBERON:0013487,branch of subpapillary plexus,,-6,axillary artery,UBERON:0001394
epidermal ridge of digit,UBERON:0013487,branch of subpapillary plexus,,-5,brachial artery,UBERON:0001398
epidermal ridge of digit,UBERON:0013487,branch of subpapillary plexus,,-4,ulnar artery,UBERON:0001406
epidermal ridge of digit,UBERON:0013487,branch of subpapillary plexus,,-3,cutaneous branch of ulnar artery,
epidermal ridge of digit,UBERON:0013487,branch of subpapillary plexus,,-2,cutaneous arteriole,
epidermal ridge of digit,UBERON:0013487,branch of subpapillary plexus,,-1,subpapillary plexus,FMA:280962
epidermal ridge of digit,UBERON:0013487,branch of subpapillary plexus,,0,branch of subpapillary plexus,
epidermal ridge of digit,UBERON:0013487,branch of subpapillary plexus,,1,cutaneous venule,
epidermal ridge of digit,UBERON:0013487,branch of subpapillary plexus,,2,cutaneous branch of ulnar vein,
epidermal ridge of digit,UBERON:0013487,branch of subpapillary plexus,,3,ulnar vein,FMA:22950
epidermal ridge of digit,UBERON:0013487,branch of subpapillary plexus,,4,brachial vein,UBERON:0001413
epidermal ridge of digit,UBERON:0013487,branch of subpapillary plexus,,5,axillary vein,UBERON:0000985
epidermal ridge of digit,UBERON:0013487,branch of subpapillary plexus,,6,subclavian vein,UBERON:0001587
epidermal ridge of digit,UBERON:0013487,branch of subpapillary plexus,,7,brachiocephalic vein,UBERON:0003711
epidermal ridge of digit,UBERON:0013487,branch of subpapillary plexus,,8,superior vena cava,UBERON:0001585
epidermal ridge of digit,UBERON:0013487,branch of subpapillary plexus,,9,right atrium,UBERON:0002078
inner medullary collecting duct,UBERON:0004205,ascending vasa recta of kidney,UBERON:0009091,-17,left ventricle,UBERON:0002084
inner medullary collecting duct,UBERON:0004205,ascending vasa recta of kidney,UBERON:0009091,-16,aorta,UBERON:0000947
inner medullary collecting duct,UBERON:0004205,ascending vasa recta of kidney,UBERON:0009091,-15,ascending aorta,UBERON:0001496
inner medullary collecting duct,UBERON:0004205,ascending vasa recta of kidney,UBERON:0009091,-14,aortic arch,UBERON:0001508
inner medullary collecting duct,UBERON:0004205,ascending vasa recta of kidney,UBERON:0009091,-13,descending aorta,UBERON:0001514
inner medullary collecting duct,UBERON:0004205,ascending vasa recta of kidney,UBERON:0009091,-12,descending thoracic aorta,UBERON:0002345
inner medullary collecting duct,UBERON:0004205,ascending vasa recta of kidney,UBERON:0009091,-11,abdominal aorta,UBERON:0001516
inner medullary collecting duct,UBERON:0004205,ascending vasa recta of kidney,UBERON:0009091,-10,renal artery,UBERON:0001184
inner medullary collecting duct,UBERON:0004205,ascending vasa recta of kidney,UBERON:0009091,-9,segmental renal artery,FMA:70494
inner medullary collecting duct,UBERON:0004205,ascending vasa recta of kidney,UBERON:0009091,-8,interlobar renal artery,UBERON:0009885
inner medullary collecting duct,UBERON:0004205,ascending vasa recta of kidney,UBERON:0009091,-7,arcuate renal artery,UBERON:0001552
inner medullary collecting duct,UBERON:0004205,ascending vasa recta of kidney,UBERON:0009091,-6,interlobular renal artery,UBERON:0004723
inner medullary collecting duct,UBERON:0004205,ascending vasa recta of kidney,UBERON:0009091,-5,renal afferent arteriole,UBERON:0004639
inner medullary collecting duct,UBERON:0004205,ascending vasa recta of kidney,UBERON:0009091,-4,glomerular capillary,UBERON:0004212
inner medullary collecting duct,UBERON:0004205,ascending vasa recta of kidney,UBERON:0009091,-3,renal efferent arteriole,UBERON:0004640
inner medullary collecting duct,UBERON:0004205,ascending vasa recta of kidney,UBERON:0009091,-2,descending vasa recta of kidney,UBERON:0009202
inner medullary collecting duct,UBERON:0004205,ascending vasa recta of kidney,UBERON:0009091,-1,vasa recta of kidney,UBERON:0004726
inner medullary collecting duct,UBERON:0004205,ascending vasa recta of kidney,UBERON:0009091,0,ascending vasa recta of kidney,UBERON:0009091
inner medullary collecting duct,UBERON:0004205,ascending vasa recta of kidney,UBERON:0009091,1,straight venule of kidney,UBERON:0010181
inner medullary collecting duct,UBERON:0004205,ascending vasa recta of kidney,UBERON:0009091,2,interlobular renal vein,UBERON:0005168
inner medullary collecting duct,UBERON:0004205,ascending vasa recta of kidney,UBERON:0009091,3,arcuate renal vein,UBERON:0004719
inner medullary collecting duct,UBERON:0004205,ascending vasa recta of kidney,UBERON:0009091,4,interlobar renal vein,UBERON:0009887
inner medullary collecting duct,UBERON:0004205,ascending vasa recta of kidney,UBERON:0009091,5,segmental renal vein,
inner medullary collecting duct,UBERON:0004205,ascending vasa recta of kidney,UBERON:0009091,6,renal vein,UBERON:0001140
inner medullary collecting duct,UBERON:0004205,ascending vasa recta of kidney,UBERON:0009091,7,inferior vena cava,UBERON:0001072
inner medullary collecting duct,UBERON:0004205,ascending vasa recta of kidney,UBERON:0009091,8,right atrium,UBERON:0002078
inner medullary collecting duct,UBERON:0004205,descending vasa recta of kidney,UBERON:0009202,-15,left ventricle,UBERON:0002084
inner medullary collecting duct,UBERON:0004205,descending vasa recta of kidney,UBERON:0009202,-14,aorta,UBERON:0000947
inner medullary collecting duct,UBERON:0004205,descending vasa recta of kidney,UBERON:0009202,-13,ascending aorta,UBERON:0001496
inner medullary collecting duct,UBERON:0004205,descending vasa recta of kidney,UBERON:0009202,-12,aortic arch,UBERON:0001508
inner medullary collecting duct,UBERON:0004205,descending vasa recta of kidney,UBERON:0009202,-11,descending aorta,UBERON:0001514
inner medullary collecting duct,UBERON:0004205,descending vasa recta of kidney,UBERON:0009202,-10,descending thoracic aorta,UBERON:0002345
inner medullary collecting duct,UBERON:0004205,descending vasa recta of kidney,UBERON:0009202,-9,abdominal aorta,UBERON:0001516
inner medullary collecting duct,UBERON:0004205,descending vasa recta of kidney,UBERON:0009202,-8,renal artery,UBERON:0001184
inner medullary collecting duct,UBERON:0004205,descending vasa recta of kidney,UBERON:0009202,-7,segmental renal artery,FMA:70494
inner medullary collecting duct,UBERON:0004205,descending vasa recta of kidney,UBERON:0009202,-6,interlobar renal artery,UBERON:0009885
inner medullary collecting duct,UBERON:0004205,descending vasa recta of kidney,UBERON:0009202,-5,arcuate renal artery,UBERON:0001552
inner medullary collecting duct,UBERON:0004205,descending vasa recta of kidney,UBERON:0009202,-4,interlobular renal artery,UBERON:0004723
inner medullary collecting duct,UBERON:0004205,descending vasa recta of kidney,UBERON:0009202,-3,renal afferent arteriole,UBERON:0004639
inner medullary collecting duct,UBERON:0004205,descending vasa recta of kidney,UBERON:0009202,-2,glomerular capillary,UBERON:0004212
inner medullary collecting duct,UBERON:0004205,descending vasa recta of kidney,UBERON:0009202,-1,renal efferent arteriole,UBERON:0004640
inner medullary collecting duct,UBERON:0004205,descending vasa recta of kidney,UBERON:0009202,0,descending vasa recta of kidney,UBERON:0009202
inner medullary collecting duct,UBERON:0004205,descending vasa recta of kidney,UBERON:0009202,1,vasa recta of kidney,UBERON:0004726
inner medullary collecting duct,UBERON:0004205,descending vasa recta of kidney,UBERON:0009202,2,ascending vasa recta of kidney,UBERON:0009091
inner medullary collecting duct,UBERON:0004205,descending vasa recta of kidney,UBERON:0009202,3,straight venule of kidney,UBERON:0010181
inner medullary collecting duct,UBERON:0004205,descending vasa recta of kidney,UBERON:0009202,4,interlobular renal vein,UBERON:0005168
inner medullary collecting duct,UBERON:0004205,descending vasa recta of kidney,UBERON:0009202,5,arcuate renal vein,UBERON:0004719
inner medullary collecting duct,UBERON:0004205,descending vasa recta of kidney,UBERON:0009202,6,interlobar renal vein,UBERON:0009887
inner medullary collecting duct,UBERON:0004205,descending vasa recta of kidney,UBERON:0009202,7,segmental renal vein,
inner medullary collecting duct,UBERON:0004205,descending vasa recta of kidney,UBERON:0009202,8,renal vein,UBERON:0001140
inner medullary collecting duct,UBERON:0004205,descending vasa recta of kidney,UBERON:0009202,9,inferior vena cava,UBERON:0001072
inner medullary collecting duct,UBERON:0004205,descending vasa recta of kidney,UBERON:0009202,10,right atrium,UBERON:0002078
intercalated duct,UBERON:0014725,periductal capillary of intercalated duct of pancreas,,-13,left ventricle,UBERON:0002084
intercalated duct,UBERON:0014725,periductal capillary of intercalated duct of pancreas,,-12,aorta,UBERON:0000947
intercalated duct,UBERON:0014725,periductal capillary of intercalated duct of pancreas,,-11,ascending aorta,UBERON:0001496
intercalated duct,UBERON:0014725,periductal capillary of intercalated duct of pancreas,,-10,aortic arch,UBERON:0001508
intercalated duct,UBERON:0014725,periductal capillary of intercalated duct of pancreas,,-9,descending aorta,UBERON:0001514
intercalated duct,UBERON:0014725,periductal capillary of intercalated duct of pancreas,,-8,descending thoracic aorta,UBERON:0002345
intercalated duct,UBERON:0014725,periductal capillary of intercalated duct of pancreas,,-7,abdominal aorta,UBERON:0001516
intercalated duct,UBERON:0014725,periductal capillary of intercalated duct of pancreas,,-6,celiac artery,UBERON:0001640
intercalated duct,UBERON:0014725,periductal capillary of intercalated duct of pancreas,,-5,splenic artery,UBERON:0001194
intercalated duct,UBERON:0014725,periductal capillary of intercalated duct of pancreas,,-4,pancreatic artery,FMA:70471
intercalated duct,UBERON:0014725,periductal capillary of intercalated duct of pancreas,,-3,interlobular artery of pancreas,
intercalated duct,UBERON:0014725,periductal capillary of intercalated duct of pancreas,,-2,lobular artery of pancreas,
intercalated duct,UBERON:0014725,periductal capillary of intercalated duct of pancreas,,-1,intralobular arteriole of pancreas,
intercalated duct,UBERON:0014725,periductal capillary of intercalated duct of pancreas,,0,periductal capillary of intercalated duct of pancreas,
intercalated duct,UBERON:0014725,periductal capillary of intercalated duct of pancreas,,1,intralobular venule of pancreas,
intercalated duct,UBERON:0014725,periductal capillary of intercalated duct of pancreas,,2,lobular vein of pancreas,
intercalated duct,UBERON:0014725,periductal capillary of intercalated duct of pancreas,,3,interlobular vein of pancreas,
intercalated duct,UBERON:0014725,periductal capillary of intercalated duct of pancreas,,4,pancreatic vein,FMA:70929
intercalated duct,UBERON:0014725,periductal capillary of intercalated duct of pancreas,,5,splenic vein,UBERON:0003713
intercalated duct,UBERON:0014725,periductal capillary of intercalated duct of pancreas,,6,hepatic portal vein,UBERON:0001639
intercalated duct,UBERON:0014725,periductal capillary of intercalated duct of pancreas,,7,left hepatic portal vein,FMA:15415
intercalated duct,UBERON:0014725,periductal capillary of intercalated duct of pancreas,,8,left lateral hepatic portal vein,
intercalated duct,UBERON:0014725,periductal capillary of intercalated duct of pancreas,,9,lateral inferior segmental hepatic portal vein,FMA:15432
intercalated duct,UBERON:0014725,periductal capillary of intercalated duct of pancreas,,10,hepatic portal venule,
intercalated duct,UBERON:0014725,periductal capillary of intercalated duct of pancreas,,11,hepatic sinusoid,UBERON:0001281
intercalated duct,UBERON:0014725,periductal capillary of intercalated duct of pancreas,,12,central vein of liver,UBERON:0006841
intercalated duct,UBERON:0014725,periductal capillary of intercalated duct of pancreas,,13,segmental hepatic vein,
intercalated duct,UBERON:0014725,periductal capillary of intercalated duct of pancreas,,14,left hepatic vein,UBERON:0011955
intercalated duct,UBERON:0014725,periductal capillary of intercalated duct of pancreas,,15,inferior vena cava,UBERON:0001072
intercalated duct,UBERON:0014725,periductal capillary of intercalated duct of pancreas,,16,right atrium,UBERON:0002078
intestinal villus,UBERON:0001213,branch of mucous plexus of small intestine,,-12,left ventricle,UBERON:0002084
intestinal villus,UBERON:0001213,branch of mucous plexus of small intestine,,-11,aorta,UBERON:0000947
intestinal villus,UBERON:0001213,branch of mucous plexus of small intestine,,-10,ascending aorta,UBERON:0001496
intestinal villus,UBERON:0001213,branch of mucous plexus of small intestine,,-9,aortic arch,UBERON:0001508
intestinal villus,UBERON:0001213,branch of mucous plexus of small intestine,,-8,descending aorta,UBERON:0001514
intestinal villus,UBERON:0001213,branch of mucous plexus of small intestine,,-7,descending thoracic aorta,UBERON:0002345
intestinal villus,UBERON:0001213,branch of mucous plexus of small intestine,,-6,abdominal aorta,UBERON:0001516
intestinal villus,UBERON:0001213,branch of mucous plexus of small intestine,,-5,superior mesenteric artery,UBERON:0001182
intestinal villus,UBERON:0001213,branch of mucous plexus of small intestine,,-4,jejunal branches,UBERON:0018255
intestinal villus,UBERON:0001213,branch of mucous plexus of small intestine,,-3,jejunal arcade,
intestinal villus,UBERON:0001213,branch of mucous plexus of small intestine,,-2,vasa recta of jejunum,
intestinal villus,UBERON:0001213,branch of mucous plexus of small intestine,,-1,mucous plexus of small intestine,FMA:264945
intestinal villus,UBERON:0001213,branch of mucous plexus of small intestine,,0,branch of mucous plexus of small intestine,
intestinal villus,UBERON:0001213,branch of mucous plexus of small intestine,,1,jejunal vein,UBERON:0001216
intestinal villus,UBERON:0001213,branch of mucous plexus of small intestine,,2,superior mesenteric vein,UBERON:0001138
intestinal villus,UBERON:0001213,branch of mucous plexus of small intestine,,3,hepatic portal vein,UBERON:0001639
intestinal villus,UBERON:0001213,branch of mucous plexus of small intestine,,4,left hepatic portal vein,FMA:15415
intestinal villus,UBERON:0001213,branch of mucous plexus of small intestine,,5,left lateral hepatic portal vein,
intestinal villus,UBERON:0001213,branch of mucous plexus of small intestine,,6,lateral inferior segmental hepatic portal vein,FMA:15432
